AQA Spec ref.,Unit,Topic,Number of Questions,GCSE Book Page number,Number of Hexagons,Link,What type of question will the student face,What will the student achieve by completing this board,What skills will the student need to know to successfully complete each board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces, Conservation of momentum,10,59,3,https://isaacphysics.org/s/zqPoUX,Hexagon 20.1 is straightforward worded momentum calculations. Hexagon 20.2-.3 involve interpreting diagrams.,Develop students' understanding of momentum and conservation of momentum during collisions. Students will be able to interpret collision diagrams and rearrange the formula Pafter-Pbefore=Ft,Ability to apply and rearrange the momentum formula and Pafter-Pbefore=Ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Impulse worded problems,4,57,3 ,https://isaacphysics.org/s/JwYPs8,Worded exam style questions ,Short section but specifically targeting students' understanding of impulse. ,Knowledge and application of impulse calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Moments Formula Practice,8,45,3,https://isaacphysics.org/s/5kPf9v,"Hexagon 16.1 straightforward drill practice of the moment formulae, Hexagon 16.2-.3 are simple worded questions.",Practice at using the moment formula.,"Ability to calculate moments, convert cm to m, rearrange the moment formula.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Moments Worded Problems,12,45 - 47,3,https://isaacphysics.org/s/TCw2v6,"Hexagons 16.6 & .8 are worded problems on moments. Hexagon 16.7 uses diagrams, and students are required to interpret and calculate the moment.","All questions apply the moment formula, sometimes with more than one mass at differing distances. Students are also challenged to state the direction the moment will act in.","Interpreting moment problems, ability to use and rearrange the moment formula, convert between units (mass and distance).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,P=F/A Formula Practice,13,48,3,https://isaacphysics.org/s/TFywUf,Hexagon 17.1 is a straightforward drill practice of P=F/A. Hexagon 17.2 -.3 are worded exam style questions.,Enhance students’ confidence of using the P=F/A formula as well as applying this to a range of scenarios.,Knowledge of P=F/A and ability to rearrange this. Convert units (length and pressure). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,P1 = P2 Formula Practice,10,49,1,https://isaacphysics.org/s/JPto5u,Drill style questions on hydraulic systems in equilibrium.,"Build students' confidence with using P1=P2. Also, more able students could be challenged through using proportionality as a way to solve most of these questions. Unit conversion of area will prove testing for most students.",Ability to recall and rearrange P1=P2 and good understanding of converting units for area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,Pressure at depth formula practice,10,50 - 51,2,https://isaacphysics.org/s/KPKamU,Straightforward drill practice. Hexagon 17.7 are worded problems but shouldn’t provide too many issues in comprehending what to do. ,Basic use of the density equation (Hexagon 17.6) and then developing this to pressure at depth. Students will also build confidence rearranging this.,Ability to rearrange and apply the density and pressure at depth formulae. Conversion of units mass and distance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,Forces,More pressure at depth worded problems,6,51,3,https://isaacphysics.org/board/a06c721d-c50e-4bbb-938f-819740d8c30f,All worded questions assessing pressure at depth and atmospheric pressure. (NB in earlier versions of the GCSE book these questions - 9 to 11 - appear as numbers 8 to 10.),Students will develop their ability at applying pressure at depth formulae to relatively abstract scenarios. These are challenging.,"Pressure at depth formula, conversion between units and prefixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Waves,Wave Equation and Time Period Formula Practice,11,117,2,https://isaacphysics.org/s/gWfhXc,Hexagon 38.1 pure drill practice of the wave equation and f=1/T and T=1/f. Hexagon 38.2 is a simple word style question applying these formulae.,"Students will develop confidence using the wave equation and rearranging the equation. Similar to exam questions, Hexagon 38.2-.3 will test students' ability to comprehend questions as well as notice the unit conversion required. ","Ability to rearrange; wave equation, f=1/T and T=1/f., conversion of units (distance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Waves,Frequency and Time Period Calculations,10,117 - 118,8,https://isaacphysics.org/s/ZFauuH,More demanding exam style worded problems.,"Students will improve their confidence using large numbers. Although straightforward in terms of application of the relevant formula, students must have a robust and consistent approach to solving problems. Hexagon 38.9 and 38.10 require multi step approach to be successful. ","Ability to rearrange; Wave equation, f=1/T and T=1/f.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Waves,Wave Equation: Worded Problems,10,118 - 119,10,https://isaacphysics.org/s/Yqaw5v,Further wave equation problems. All exam style worded problems.,Further opportunity to develop students' ability to solve worded problems. Many of the questions require conversion of some units. The use of standard form is also another challenging aspect for some students.,"Ability to rearrange; Wave equation, f=1/T standard form, conversion of units, prefixes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Waves,Convex Lenses,16,144,1,https://isaacphysics.org/s/tJbKMF,A series of multiple-choice questions.,This board will qualitatively deepen students' understanding of lenses and what happens to objects placed at different positions.,Understanding of convex lenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6,Waves,Concave Lenses,8,148,1,https://isaacphysics.org/s/VpkBwv,A short series of multiple-choice questions.,This board will qualitatively deepen students understanding of lenses and what happens to objects placed at different positions.,Understanding of concave lenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6 ,Waves,S & P Waves,15,136 - 137,5,https://isaacphysics.org/board/4fb167c7-1530-499a-941b-0d8f94503c22,Hexagon 45.1 applies the speed formula to S&P waves. Hexagon 45.3 and 45.4 are both multiple choice style questions. ,Quantitatively and qualitatively advance students' understanding the properties of S & P Waves.,"Knowledge and understanding of S & P Waves, basic use of the speed distance time formula. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,Magnetism and Electromagnetism,E-M Induction and The Generator Effect,15,86 - 87,5,https://isaacphysics.org/board/68aad4ec-fb51-46c4-9030-7bcb8bbc8934 ,A range of multiple choice and numerical answers. ,Will challenge students' understanding of E-M induction and the factors that have an impact on the generator effect. The numerical answer requires little calculation but a good understanding of proportionality and ratios.,"Understanding of E-M induction and the generator effect, proportionality, ratios and percentages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7,Magnetism and Electromagnetism,Transformers ,15,89 -90 , 5,https://isaacphysics.org/s/Zf9T6Z,Hexagon 29.1 is a straightforward drill style question. Hexagon 29.2-7 are worded exam style questions. ,"Initially developing students' ability at using the transformer rule formula, students will be quickly tested on their ability to decide what information is relevant and which is not.","Transformer rule, ratios and portionality.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
