"File created on Wednesday, 3rd May 2017.",,,,,,,,,,,,,,,,,,,,,
Question Name,URL:,Replaced?,Book Name,"University Preparation? (FastTrack)",Subject,Level,Field,Topic,Lesson,Pre-made Board,Number of Parts,Contains Show/Hide Q?,Contains Multi Choice Q?,Contains Numeric Q?,Contains Symbolic Q?,Has Hints?,Has Video?,Has Diagram?,Related Concepts,Related Questions,Notes
Braking a Car,https://isaacphysics.org/questions/braking_a_car,,,N,Physics,4,Mechanics,Dynamics,Newton's 2nd Law,https://isaacphysics.org/gameboards#newton_2,4,N,N,Y,N,Y,Y,Y,"Equations of Motion, Friction, Newton's First Law, Newton's Second Law, Power, Vectors - Resolving Vectors",,
Energy in a Wire,https://isaacphysics.org/questions/energy_in_a_wire_sym,,,N,Physics,4,Mechanics,Dynamics,Springs,https://isaacphysics.org/gameboards#springs,1,N,N,N,Y,Y,Y,Y,"Conservation of Energy, Force, Hooke's Law, Potential Energy, Work",,
Energy in a Wire,https://isaacphysics.org/questions/energy_in_a_wire,Y,,N,Physics,4,Mechanics,Dynamics,,,1,N,Y,N,N,Y,Y,Y,"Conservation of Energy, Force, Hooke's Law, Potential Energy, Work",,
The Spouting Can,https://isaacphysics.org/questions/spouting_can_num,Y,,N,Physics,4,Mechanics,Dynamics,,,5,N,N,Y,N,Y,Y,N,"Conservation of Energy, Equations of Motion, Linear Kinetic Energy, Potential Energy, Vectors - Resolving Vectors, Work",,
Powering Up,https://isaacphysics.org/questions/powering_up,,,N,Physics,4,Mechanics,Dynamics,Work Energy and Power,,1,N,Y,N,N,Y,Y,Y,"Newton's Second Law, Power, Vectors - Resolving Vectors",,
The Spouting Can,https://isaacphysics.org/questions/spouting_can,,,N,Physics,4,Mechanics,Dynamics,Work Energy and Power,,5,N,N,N,Y,Y,Y,N,"Conservation of Energy, Equations of Motion, Linear Kinetic Energy, Potential Energy, Vectors - Resolving Vectors, Work",,
Falling Chain,https://isaacphysics.org/questions/falling_chain,,,N,Physics,5,Mechanics,Dynamics,Force and Momentum,,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Force, Impulse, Momentum & Conservation of Momentum, Newton's Second Law",,
The Water Wheel,https://isaacphysics.org/questions/water_wheel,,,N,Physics,5,Mechanics,Dynamics,Force and Momentum,,1,N,N,Y,N,Y,N,Y,"Force, Impulse, Momentum & Conservation of Momentum, Newton's Second Law, Relative Velocity",,
Picking up a Chain,https://isaacphysics.org/questions/pick_up_chain_num,,,N,Physics,5,Mechanics,Dynamics,Force and Momentum,,4,N,N,Y,N,Y,Y,N,"Conservation of Energy, Equilibrium, Linear Kinetic Energy, Newton's First Law, Newton's Second Law, Potential Energy, Power",,
The Hose Pipe,https://isaacphysics.org/questions/the_hosepipe,,,N,Physics,5,Mechanics,Dynamics,Impulse,,1,N,N,Y,N,Y,Y,Y,"Force, Friction, Impulse, Momentum & Conservation of Momentum, Newton's Second Law",,
An Accident,https://isaacphysics.org/questions/an_accident,,,N,Physics,5,Mechanics,Dynamics,Impulse,https://isaacphysics.org/gameboards#impulse,1,N,Y,N,N,Y,Y,Y,"Force, Impulse, Momentum & Conservation of Momentum, Newton's First Law, Newton's Second Law, Power",,
Lifting a Rod,https://isaacphysics.org/questions/lifting_rod,,,N,Physics,5,Mechanics,Dynamics,Moments,,4,N,N,Y,N,Y,Y,Y,"Equilibrium, Moments or Torques, Newton's First Law, Newton's Second Law, Power",,
Three Particles,https://isaacphysics.org/questions/three_particles,,,N,Physics,5,Mechanics,Dynamics,Momentum and collisions,,3,N,Y,Y,N,Y,N,Y,"Collisions, Equations of Motion, Linear Kinetic Energy, Momentum & Conservation of Momentum, Trigonometric Relationships, Vectors - Describing and Adding Vectors",,
A Spring and a Thread,https://isaacphysics.org/questions/spring_and_thread_sym,,,N,Physics,5,Mechanics,Dynamics,Springs,https://isaacphysics.org/gameboards#springs,1,N,N,N,Y,Y,Y,Y,"Equilibrium, Newton's First Law, Newton's Second Law",,
A Spring and a Thread,https://isaacphysics.org/questions/spring_and_thread,Y,,N,Physics,5,Mechanics,Dynamics,,,1,N,Y,N,N,Y,Y,Y,"Equilibrium, Newton's First Law, Newton's Second Law",,
Connected Masses,https://isaacphysics.org/questions/connected_masses_2,,,N,Physics,5,Mechanics,Dynamics,Work Energy and Power,https://isaacphysics.org/gameboards#work_energy_power,1,N,Y,N,N,Y,Y,Y,"Conservation of Energy, Linear Kinetic Energy, Potential Energy, Vectors - Resolving Vectors",,
A Chain on a Peg,https://isaacphysics.org/questions/chain_on_peg_num,,,N,Physics,5,Mechanics,Dynamics,Work Energy and Power,,1,N,N,Y,N,Y,Y,Y,"Conservation of Energy, Equations of Motion, Linear Kinetic Energy, Potential Energy",,
Rapid Acceleration,https://isaacphysics.org/questions/rapid_acceleration,,,N,Physics,5,Mechanics,Dynamics,Work Energy and Power,,1,N,Y,N,N,Y,N,N,"Linear Kinetic Energy, Power, Work",,
Angle between Two Identical Masses,https://isaacphysics.org/questions/angle_between_identical_masses,,,N,Physics,6,Mechanics,Dynamics,,,1,N,Y,N,N,Y,N,Y,"Collisions, Frames of Reference, Linear Kinetic Energy, Momentum & Conservation of Momentum, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Cycling through Wind,https://isaacphysics.org/questions/bike_power,,,N,Physics,6,Mechanics,Dynamics,,,5,Y,N,Y,N,Y,N,Y,"Geometry - Angles and Triangles, Power, Relative Velocity, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Discs on a Table,https://isaacphysics.org/questions/discs_on_a_table_num,,,N,Physics,6,Mechanics,Dynamics,,,3,Y,N,Y,N,Y,N,N,"Collisions, Conservation of Energy, Momentum & Conservation of Momentum, Vectors - Describing and Adding Vectors",,
Inelastic and Elastic Collisions,https://isaacphysics.org/questions/elastic_collision_ZMF_num,,,N,Physics,6,Mechanics,Dynamics,,,2,N,N,Y,N,Y,N,Y,"Collisions, Conservation of Energy, Momentum & Conservation of Momentum, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Force of a Bouncing Ball,https://isaacphysics.org/questions/force_bouncing_ball_num,,,N,Physics,6,Mechanics,Dynamics,,,2,N,N,Y,N,Y,Y,N,"Collisions, Impulse, Momentum & Conservation of Momentum, Newton's Second Law",,
Maximum Deflection of a Particle,https://isaacphysics.org/questions/maximum_deflection_angle_num,,,N,Physics,6,Mechanics,Dynamics,,,1,N,N,Y,N,Y,N,Y,"Collisions, Conservation of Energy, Momentum & Conservation of Momentum, Vectors - Describing and Adding Vectors",,
Road Collision,https://isaacphysics.org/questions/road_collision,,,N,Physics,6,Mechanics,Dynamics,,,1,N,N,Y,N,Y,N,Y,"Collisions, Friction, Momentum & Conservation of Momentum, Newton's Second Law, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Space Justice,https://isaacphysics.org/questions/space_justice_num,,,N,Physics,6,Mechanics,Dynamics,,,2,N,N,Y,N,Y,Y,Y,"Collisions, Conservation of Energy, Momentum & Conservation of Momentum, Relative Velocity",,
Superball,https://isaacphysics.org/questions/superball_num,,,N,Physics,6,Mechanics,Dynamics,,,1,N,N,Y,N,Y,Y,Y,"Collisions, Conservation of Energy, Momentum & Conservation of Momentum",,
Transfer of Energy in Collisions,https://isaacphysics.org/questions/transfer_energy_ZMF_num,,,N,Physics,6,Mechanics,Dynamics,,,4,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Collisions, Conservation of Energy, Frames of Reference, Momentum & Conservation of Momentum, Vectors - Describing and Adding Vectors",,
Hansel and Gretel,https://isaacphysics.org/questions/hansel_and_gretel,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,3,Y,N,Y,N,Y,Y,N,"Equations of Motion, Vectors - Describing and Adding Vectors",,
The Hare and the Tortoise,https://isaacphysics.org/questions/hare_tortoise_race,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,2,Y,N,Y,N,Y,Y,Y,Equations of Motion,,
Race Around the World,https://isaacphysics.org/questions/race_around_world,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Geometry - Shapes and their Properties",,
Man vs. Horse,https://isaacphysics.org/questions/man_vs_horse,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1d,1,N,N,Y,N,Y,Y,N,Equations of Motion,,
Cracking Eggs,https://isaacphysics.org/questions/cracking_eggs,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - free fall,https://isaacphysics.org/gameboards#eqns_motion_3,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Vectors - Describing and Adding Vectors",,
Somersault,https://isaacphysics.org/questions/somersault,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - free fall,https://isaacphysics.org/gameboards#eqns_motion_3,3,N,N,Y,N,Y,Y,Y,"Algebraic Manipulation - Rearranging Equations and Units, Equations of Motion, Quadratic Equations",,
A Strange Planet,https://isaacphysics.org/questions/strange_planet,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - free fall,https://isaacphysics.org/gameboards#eqns_motion_3,1,N,N,Y,N,Y,Y,N,Equations of Motion,,
Firing a Cannonball,https://isaacphysics.org/questions/firing_a_cannonball,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - free fall,https://isaacphysics.org/gameboards#equations_motion_1d,1,N,Y,N,N,Y,N,N,"Equations of Motion, Vectors - Describing and Adding Vectors",,
Olympic Sprinter,https://isaacphysics.org/questions/olympic_sprinter,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,,5,Y,N,Y,N,Y,Y,N,Equations of Motion,,
Vectors Versus Scalars: A Train,https://isaacphysics.org/questions/vector_scalar_train,,,N,Physics,1,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,5,Y,N,Y,N,Y,Y,N,"Equations of Motion, Vectors - Describing and Adding Vectors",,
The Collision Condition,https://isaacphysics.org/questions/collision_car_lorry,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_1d,1,N,N,N,Y,Y,Y,Y,Equations of Motion,,
The Equations of Motion,https://isaacphysics.org/questions/define_suvat,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_1d,5,Y,N,N,Y,Y,Y,Y,Equations of Motion,,
Stopping Distances,https://isaacphysics.org/questions/stopping_distances,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,6,Y,N,Y,Y,Y,Y,Y,"Equations of Motion, Force, Newton's Second Law, Trigonometric Relationships, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Coming to Rest,https://isaacphysics.org/questions/decc_car,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,1,N,Y,N,N,Y,Y,Y,Equations of Motion,,
Reaction Time,https://isaacphysics.org/questions/reaction_time,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,1,N,N,N,Y,Y,Y,Y,Equations of Motion,,
A Sliding Stone,https://isaacphysics.org/questions/slide_stone,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,1,N,Y,N,N,Y,Y,Y,"Algebraic Manipulation - Rearranging Equations and Units, Equations of Motion",,
Into the Sea,https://isaacphysics.org/questions/into_sea,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 2D,,1,N,Y,N,N,Y,Y,Y,"Equations of Motion, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
A Stone's Flight,https://isaacphysics.org/questions/acc_stone,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,1,N,Y,N,N,Y,Y,Y,"Equations of Motion, Newton's Second Law, Vectors - Resolving Vectors",,
A Ball Thrown Off a Cliff,https://isaacphysics.org/questions/ball_cliff,,,N,Physics,2,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,1,N,N,Y,N,Y,Y,Y,Equations of Motion,,
A Stoplight,https://isaacphysics.org/questions/stoplight,,,N,Physics,2,Mechanics,Kinematics,Newton's 2nd Law,,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Force, Newton's Second Law",,
Two Masses and a Peg,https://isaacphysics.org/questions/two_mass_peg,,,N,Physics,2,Mechanics,Kinematics,Newton's 2nd Law,,1,N,N,N,Y,Y,Y,Y,"Equations of Motion, Force, Newton's Second Law",,
The Collision Condition,https://isaacphysics.org/questions/collision_car_lorry_num,Y,,N,Physics,2,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,Equations of Motion,,
The Equations of Motion,https://isaacphysics.org/questions/define_suvat_num,Y,,N,Physics,2,Mechanics,Kinematics,,,5,Y,N,Y,N,Y,Y,Y,Equations of Motion,,
Reaction Time,https://isaacphysics.org/questions/reaction_time_num,Y,,N,Physics,2,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,Equations of Motion,,
Stopping Distances,https://isaacphysics.org/questions/stopping_distances_num,Y,,N,Physics,2,Mechanics,Kinematics,,,6,Y,N,Y,N,Y,Y,Y,"Equations of Motion, Newton's Second Law, Trigonometric Relationships, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Two Masses and a Peg,https://isaacphysics.org/questions/two_mass_peg_num,Y,,N,Physics,2,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Force, Newton's Second Law",,
Relative Velocity,https://isaacphysics.org/questions/relative_velocity,,,N,Physics,3,Mechanics,Kinematics,Adding Vectors,https://isaacphysics.org/gameboards#adding_vectors,1,N,Y,N,N,Y,Y,N,"Frames of Reference, Vectors - Resolving Vectors",,
A Jet in the Fog,https://isaacphysics.org/questions/foggy_jet,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Geometry - Shapes and their Properties, Trigonometric Sums",,
Highway Pursuit,https://isaacphysics.org/questions/highway_pursuit,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,1,N,Y,N,N,Y,Y,N,"Equations of Motion, Frames of Reference, Vectors - Resolving Vectors",,
The Lifeguard,https://isaacphysics.org/questions/lifeguard_num,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1d,2,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Equations of Motion, Trigonometric Relationships",,
Target Practice,https://isaacphysics.org/questions/target_practice,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 2D,,1,N,Y,N,N,Y,Y,Y,"Equations of Motion, Simultaneous Equations",,
Projecting a Ball,https://isaacphysics.org/questions/projecting_ball,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,1,N,Y,N,N,Y,Y,Y,"Equations of Motion, Trigonometric Relationships, Vectors - Resolving Vectors",,
A Bomb and a Ship's Funnel,https://isaacphysics.org/questions/bomb_funnel,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,1,N,N,Y,N,Y,Y,Y,"Conservation of Energy, Equations of Motion, Linear Kinetic Energy, Potential Energy, Vectors - Describing and Adding Vectors",,
The Bolt Thrower,https://isaacphysics.org/questions/bolt_thrower,,,N,Physics,3,Mechanics,Kinematics,Equations of Motion - 2D,,2,N,N,N,Y,Y,Y,Y,"Equations of Motion, Trigonometric Relationships, Vectors - Describing and Adding Vectors",,
Lunar Landing,https://isaacphysics.org/questions/lunar_landing,,,N,Physics,3,Mechanics,Kinematics,Newton's 2nd Law,https://isaacphysics.org/gameboards#newton_2,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Linear Kinetic Energy, Newton's First Law, Newton's Second Law, Potential Energy",,
Stop the Train,https://isaacphysics.org/questions/stop_train,,,N,Physics,3,Mechanics,Kinematics,Newton's 2nd Law,https://isaacphysics.org/gameboards#newton_2,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Newton's Second Law",,
The Bolt Thrower,https://isaacphysics.org/questions/bolt_thrower_num,Y,,N,Physics,3,Mechanics,Kinematics,,,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Trigonometric Relationships, Vectors - Describing and Adding Vectors",,
A Polar Bear Heading North,https://isaacphysics.org/questions/polar_bear,,,N,Physics,4,Mechanics,Kinematics,Adding Vectors,https://isaacphysics.org/gameboards#adding_vectors,1,N,Y,N,N,Y,Y,Y,"Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Ping-Pong on a Bus,https://isaacphysics.org/questions/ping_pong_bus_num,,,N,Physics,4,Mechanics,Kinematics,Adding Vectors,https://isaacphysics.org/gameboards#adding_vectors,1,N,Y,N,N,Y,Y,N,"Equations of Motion, Frames of Reference, Relative Velocity, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Swimming to a Boat,https://isaacphysics.org/questions/swimming_boat,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,,3,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Equations of Motion, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Triangular Flying Course,https://isaacphysics.org/questions/triangular_flying_num,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,,1,N,N,Y,N,Y,Y,N,"Equations of Motion, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
The Harbour Entrance,https://isaacphysics.org/questions/harbour_entrance,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,1,N,N,N,Y,Y,Y,Y,"Equations of Motion, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
A Lifeboat,https://isaacphysics.org/questions/lifeboat,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,https://isaacphysics.org/gameboards#equations_motion_1,2,N,Y,Y,N,Y,Y,Y,"Equations of Motion, Quadratic Equations, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Will They Collide?,https://isaacphysics.org/questions/collision_conditionsii,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 1D - non-zero acceleration,https://isaacphysics.org/gameboards#equations_motion_2,2,N,N,Y,Y,Y,Y,Y,"Equations of Motion, Frames of Reference, Quadratic Equations, Simultaneous Equations",,
Building a Tennis Court,https://isaacphysics.org/questions/build_tennis_court_num,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 2D,,6,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Equations of Motion, Newton's Second Law, Simultaneous Equations, Trigonometric Relationships, Trigonometric Sums, Vectors - Resolving Vectors",,
Broken Cannon,https://isaacphysics.org/questions/broken_cannon,,,N,Physics,4,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Simultaneous Equations, Vectors - Resolving Vectors",,
Will They Collide?,https://isaacphysics.org/questions/collision_conditionsii_num,Y,,N,Physics,4,Mechanics,Kinematics,,,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Quadratic Equations, Simultaneous Equations",,
The Harbour Entrance,https://isaacphysics.org/questions/harbour_entrance_num,Y,,N,Physics,4,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,"Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Crossing a River,https://isaacphysics.org/questions/boat_river_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 1D - constant velocity,,1,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Calculus - Introduction to Integration, Equations of Motion, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Sliding inside a Hoop,https://isaacphysics.org/questions/bead_wire_chord_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 1D - free fall,,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Force, Newton's Second Law, Vectors - Resolving Vectors",,
Throwing a Ball up a Flat Slope,https://isaacphysics.org/questions/throw_ball_flat,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,,1,N,Y,N,N,Y,N,Y,Equations of Motion,,
Reaching a Sloping Roof,https://isaacphysics.org/questions/reaching_sloping_roof_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,https://isaacphysics.org/gameboards#eqns_motion_2d,2,N,N,Y,N,Y,N,Y,"Calculus - Differentiation, Equations of Motion",,
Shooting a Balloon,https://isaacphysics.org/questions/shooting_balloon_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,,2,N,N,Y,N,Y,N,Y,Equations of Motion,,
Maximum Angle Throw,https://isaacphysics.org/questions/ball_maximum_angle,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,,1,N,N,Y,N,Y,Y,N,"Calculus - Differentiation, Equations of Motion",,
Thrown off a Cliff,https://isaacphysics.org/questions/ball_off_cliff_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,,2,N,N,Y,N,Y,Y,Y,"Equations of Motion, Trigonometric Relationships",,
Bouncing a Ball across a Half-Pipe,https://isaacphysics.org/questions/ball_bouncing_dip_num,,,N,Physics,5,Mechanics,Kinematics,Equations of Motion - 2D,,1,N,N,Y,N,Y,Y,Y,"Collisions, Equations of Motion",,
The Michelson-Morley Experiment,https://isaacphysics.org/questions/michaelson_morley_num,Y,,N,Physics,5,Mechanics,Kinematics,,,3,N,N,Y,N,Y,N,Y,"Equations of Motion, Relative Velocity, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
Stuck in the Mud,https://isaacphysics.org/questions/stuck_in_mud,,,N,Physics,5,Mechanics,Kinematics,Work Energy and Power,,1,N,N,Y,N,Y,Y,Y,"Calculus - Differentiation, Circular Kinematics, Conservation of Energy, Equations of Motion",,
The Michaelson-Morley Experiment,https://isaacphysics.org/questions/michaelson_morley,,,N,Physics,5,Mechanics,Kinematics,,,3,N,N,N,Y,Y,N,Y,"Equations of Motion, Relative Velocity, Series, Vectors - Describing and Adding Vectors, Vectors - Resolving Vectors",,
The Ant and the Tortoise,https://isaacphysics.org/questions/ant_tortoise_elastic_num,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,"Differential Equations, Equations of Motion, Relative Velocity",,
The Bouncing Ball,https://isaacphysics.org/questions/bouncing_ball_num,,,N,Physics,6,Mechanics,Kinematics,,,2,N,N,Y,N,Y,N,N,"Equations of Motion, Series",,
The Directrix of a Parabola,https://isaacphysics.org/questions/directrix_num,,,N,Physics,6,Mechanics,Kinematics,,,4,Y,Y,Y,N,Y,N,Y,"Equations of Motion, Frames of Reference",,
Angle of a Chip in Golf,https://isaacphysics.org/questions/golf_chip_angle_range_num,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,N,Y,Equations of Motion,,
Jumping over a Log,https://isaacphysics.org/questions/jump_over_log_num,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,"Conservation of Energy, Equations of Motion, Linear Kinetic Energy, Potential Energy",,
Light Clock,https://isaacphysics.org/questions/light_clock_num,,,N,Physics,6,Mechanics,Kinematics,,,3,N,Y,Y,N,Y,Y,Y,"Equations of Motion, Relative Velocity",,
Longest Trajectory of a Thrown Ball,https://isaacphysics.org/questions/longest_flight,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,N,N,Equations of Motion,,
Love Bugs,https://isaacphysics.org/questions/love_bugs_num,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,Y,Y,"Equations of Motion, Relative Velocity",,
A Search Spiral,https://isaacphysics.org/questions/search_spiral_num,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,N,Y,"Calculus - Integrating Common Functions, Calculus - Introduction to Integration",,
Catching Smugglers,https://isaacphysics.org/questions/smuggler_catching_spiral,,,N,Physics,6,Mechanics,Kinematics,,,1,N,N,Y,N,Y,N,Y,Equations of Motion,,
Weighing at Sea,https://isaacphysics.org/questions/weigh_sea,,,N,Physics,4,Mechanics,SHM,SHM,,1,N,N,N,Y,Y,Y,Y,"Hooke's Law, Newton's Second Law, Simple Harmonic Motion",,
Acceleration during SHM,https://isaacphysics.org/questions/acceleration_shm,,,N,Physics,4,Mechanics,SHM,SHM,https://isaacphysics.org/gameboards#shm,2,N,N,Y,N,Y,N,Y,Simple Harmonic Motion,,
Two Spring SHM,https://isaacphysics.org/questions/two_spring_SHM,,,N,Physics,4,Mechanics,SHM,SHM,https://isaacphysics.org/gameboards#shm,1,N,Y,N,N,Y,Y,Y,"Hooke's Law, Linear Kinetic Energy, Simple Harmonic Motion",,
Maximum Speed in SHM,https://isaacphysics.org/questions/max_speed_shm,,,N,Physics,4,Mechanics,SHM,SHM,https://isaacphysics.org/gameboards#shm,1,N,Y,N,N,Y,N,Y,Simple Harmonic Motion,,
Chopping up Springs,https://isaacphysics.org/questions/chopping_springs,,,N,Physics,4,Mechanics,SHM,SHM - Springs,https://isaacphysics.org/gameboards#shm_springs,3,N,N,N,Y,Y,Y,Y,"Hooke's Law, Simple Harmonic Motion",,
Car Suspension over Bumps,https://isaacphysics.org/questions/car_suspension_bumps,,,N,Physics,4,Mechanics,SHM,SHM - time period,,1,N,N,N,Y,Y,Y,Y,"Equations of Motion, Hooke's Law, Simple Harmonic Motion",,
Period of SHM,https://isaacphysics.org/questions/period_shm,,,N,Physics,4,Mechanics,SHM,SHM - time period,https://isaacphysics.org/gameboards#shm_time_period,1,N,Y,N,N,Y,N,Y,Simple Harmonic Motion,,
SHM of a Simple Scale,https://isaacphysics.org/questions/shm_simple_scale,,,N,Physics,4,Mechanics,SHM,SHM - time period,https://isaacphysics.org/gameboards#shm_time_period,4,N,N,Y,N,Y,Y,Y,"Hooke's Law, Simple Harmonic Motion",,
Swinging Rod,https://isaacphysics.org/questions/swinging_rod,,,N,Physics,4,Mechanics,SHM,SHM - time period,https://isaacphysics.org/gameboards#shm_time_period,4,N,N,Y,N,Y,Y,Y,Simple Harmonic Motion,,
Pendulum in a Lift,https://isaacphysics.org/questions/pendulum_lift,,,N,Physics,4,Mechanics,SHM,SHM - time period,https://isaacphysics.org/gameboards#shm_time_period,1,N,Y,N,N,Y,Y,Y,Simple Harmonic Motion,,
Car Suspension over Bumps,https://isaacphysics.org/questions/car_suspension_bumps_num,Y,,N,Physics,4,Mechanics,SHM,,,1,N,N,Y,N,Y,Y,Y,"Hooke's Law, Simple Harmonic Motion",,
Chopping up Springs,https://isaacphysics.org/questions/chopping_springs_num,Y,,N,Physics,4,Mechanics,SHM,,,3,N,N,Y,N,Y,Y,Y,"Hooke's Law, Simple Harmonic Motion",,
